CompanyName,ProjectType,PowerCapacity_MW,ProjectLocation,DevelopmentPhase,EstimatedCloseDate,ProbabilityPercent,LeadEngineer,TechnologyType,GridConnection,PermitStatus,InvestmentValue_USD
PowerNow Industries,Wind Farm,221,Colorado,Negotiation,2026-03-01,62,Robert Thompson,Siemens Gamesa 5.X,69kV Distribution,Under Review,299786721
RenewableFirst,Solar PV,410,Florida,Proposal,,50,Jessica Martinez,Monocrystalline Si,69kV Distribution,Pending EIS,369573590
RenewableFirst,Wind Farm,186,Arizona,Contract Signed,2026-01-26,96,Sarah Chen,GE Haliade-X,138kV Substation,Under Review,259546260
,Offshore Wind,618,Utah,Contract Signed,2026-02-02,96,Lisa Anderson,Monocrystalline Si,138kV Substation,Conditional Approval,2887537020
EcoWatt Systems,Hybrid Solar+Storage,121,Oregon,Qualification,2026-06-24,33,Michael Rodriguez,Siemens Gamesa 5.X,500kV Backbone,Conditional Approval,124339963
EcoWatt Systems,Wind Farm,500,Washington,Qualification,2026-08-25,26,Sarah Chen,Siemens Gamesa 5.X,230kV Transmission,Conditional Approval,828070500
Acme Energy,Battery Storage,198,California,Qualification,2026-08-25,27,Robert Thompson,Vestas V150,138kV Substation,Pending EIS,140998572
BrightEnergy Co,Solar PV,198,Arizona,Proposal,,43,Lisa Anderson,Siemens Gamesa 5.X,500kV Backbone,Pending EIS,169626996
Acme Energy,Offshore Wind,697,California,Proposal,2026-05-27,59,Emily Watson,Monocrystalline Si,230kV Transmission,Approved,2338796743
FutureGen Energy,Wind Farm,538,Colorado,Proposal,2026-03-25,53,Jessica Martinez,Monocrystalline Si,500kV Backbone,Applied,689394814
WindForce LLC,Battery Storage,111,California,Pre-Qualification,2026-09-05,23,Sarah Chen,Tesla Megapack,69kV Distribution,Applied,53886837
WindForce LLC,Battery Storage,147,Oregon,Proposal,2026-05-31,55,Jessica Martinez,Bifacial Modules,230kV Transmission,Pending EIS,112100583
FutureGen Energy,Hybrid Solar+Storage,243,Colorado,Contract Signed,2026-01-31,95,Sarah Chen,GE Haliade-X,138kV Substation,Approved,252907596
BrightEnergy Co,Wind Farm,587,Oregon,Proposal,2026-05-07,58,Emily Watson,Monocrystalline Si,230kV Transmission,Conditional Approval,840515908
,Offshore Wind,722,Utah,Negotiation,2026-03-09,56,Lisa Anderson,Monocrystalline Si,500kV Backbone,Conditional Approval,2536228604
RenewableFirst,Wind Farm,459,Oregon,Contract Signed,2026-02-01,86,Emily Watson,Vestas V150,69kV Distribution,Conditional Approval,735539697
Acme Energy,Offshore Wind,666,New Mexico,Negotiation,2026-03-12,57,Jessica Martinez,Tesla Megapack,69kV Distribution,Pending EIS,2187540936
FutureGen Energy,Solar PV,65,Nevada,Proposal,2026-06-17,43,Jessica Martinez,Bifacial Modules,230kV Transmission,Conditional Approval,71863545
,Solar PV,217,Washington,Pre-Qualification,2026-11-10,26,Robert Thompson,Tesla Megapack,69kV Distribution,Pending EIS,240105726
,Wind Farm,339,New Mexico,,2026-02-04,92,Jessica Martinez,Monocrystalline Si,69kV Distribution,Approved,462840090
SolarTech Inc,Offshore Wind,512,Oregon,Contract Signed,2026-02-02,86,Robert Thompson,Tesla Megapack,230kV Transmission,Approved,2257224192
EcoWatt Systems,Hybrid Solar+Storage,263,Washington,Pre-Qualification,2026-09-20,17,Sarah Chen,Siemens Gamesa 5.X,500kV Backbone,Approved,369470553
EcoWatt Systems,Offshore Wind,425,Arizona,Qualification,2026-08-08,42,Jessica Martinez,GE Haliade-X,138kV Substation,Pending EIS,1496510850
Acme Energy,Offshore Wind,523,Florida,Contract Signed,2026-01-23,89,Jessica Martinez,Monocrystalline Si,69kV Distribution,Applied,2036404577
,Offshore Wind,692,Texas,Pre-Qualification,2026-08-01,11,Emily Watson,Siemens Gamesa 5.X,230kV Transmission,Applied,3384665420
EcoWatt Systems,Wind Farm,160,Texas,Pre-Qualification,2026-11-09,12,David Kim,GE Haliade-X,500kV Backbone,Approved,271864320
CleanGrid Solutions,Hybrid Solar+Storage,216,Oregon,Proposal,2026-03-30,50,James Wilson,GE Haliade-X,138kV Substation,Applied,271780488
WindForce LLC,Hybrid Solar+Storage,346,Arizona,Qualification,2026-08-20,31,James Wilson,Bifacial Modules,500kV Backbone,Pending EIS,408481372
BrightEnergy Co,Offshore Wind,591,New Mexico,Qualification,2026-07-12,27,Robert Thompson,Siemens Gamesa 5.X,138kV Substation,Under Review,1808436360
Acme Energy,Hybrid Solar+Storage,175,California,Proposal,,53,Sarah Chen,GE Haliade-X,138kV Substation,Applied,224893900
EcoWatt Systems,Offshore Wind,725,Arizona,Contract Signed,2026-02-08,87,Michael Rodriguez,Tesla Megapack,500kV Backbone,Pending EIS,3198654325
GreenPower Corp,Battery Storage,185,Florida,Qualification,2026-06-12,25,James Wilson,Vestas V150,230kV Transmission,Conditional Approval,100411710
EcoWatt Systems,Hybrid Solar+Storage,325,Washington,Negotiation,2026-04-01,63,Sarah Chen,Siemens Gamesa 5.X,138kV Substation,Under Review,398945300
FutureGen Energy,Hybrid Solar+Storage,327,Texas,Contract Signed,2026-02-02,96,Sarah Chen,Monocrystalline Si,138kV Substation,Applied,392558922
FutureGen Energy,Offshore Wind,771,Utah,Qualification,2026-08-01,26,Robert Thompson,GE Haliade-X,138kV Substation,Pending EIS,3220635078
GreenPower Corp,Solar PV,333,Oregon,Negotiation,2026-03-24,71,David Kim,GE Haliade-X,69kV Distribution,Under Review,337788207
PowerNow Industries,Battery Storage,186,New Mexico,Contract Signed,2026-02-03,88,Lisa Anderson,Bifacial Modules,138kV Substation,Applied,127312722
SolarTech Inc,Wind Farm,248,Oregon,Qualification,2026-08-12,27,Robert Thompson,Siemens Gamesa 5.X,69kV Distribution,Applied,382378304
BrightEnergy Co,Battery Storage,151,New Mexico,Negotiation,2026-03-13,77,Michael Rodriguez,Monocrystalline Si,138kV Substation,Approved,67632447
SolarTech Inc,Wind Farm,434,Arizona,Contract Signed,2026-02-07,97,Robert Thompson,Tesla Megapack,230kV Transmission,Pending EIS,728863072
CleanGrid Solutions,Hybrid Solar+Storage,271,Texas,Proposal,2026-05-27,57,Robert Thompson,Siemens Gamesa 5.X,69kV Distribution,Approved,352247968
WindForce LLC,Battery Storage,106,Florida,Qualification,2026-06-19,30,Emily Watson,GE Haliade-X,500kV Backbone,Approved,49337912
Acme Energy,Solar PV,474,Utah,Contract Signed,2026-02-09,86,James Wilson,Vestas V150,138kV Substation,Applied,513290334
CleanGrid Solutions,Battery Storage,185,Arizona,,2026-12-09,20,Lisa Anderson,GE Haliade-X,69kV Distribution,Conditional Approval,86334135
PowerNow Industries,Solar PV,378,Oregon,Proposal,2026-06-14,52,Sarah Chen,GE Haliade-X,230kV Transmission,Pending EIS,303211188
CleanGrid Solutions,Solar PV,293,Florida,Contract Signed,2026-01-19,86,David Kim,Vestas V150,500kV Backbone,Under Review,306460420
EcoWatt Systems,Solar PV,169,Colorado,Negotiation,2026-04-13,64,Jessica Martinez,Siemens Gamesa 5.X,500kV Backbone,Under Review,192971129
SolarTech Inc,Battery Storage,156,Arizona,Qualification,2026-07-18,33,Robert Thompson,Vestas V150,138kV Substation,Applied,91327548
CleanGrid Solutions,Wind Farm,225,Colorado,Negotiation,2026-03-19,65,James Wilson,Siemens Gamesa 5.X,230kV Transmission,Applied,369731025
Acme Energy,Solar PV,303,Colorado,Pre-Qualification,2026-12-05,14,Jessica Martinez,Bifacial Modules,69kV Distribution,Approved,354958137
CleanGrid Solutions,Solar PV,95,Florida,Qualification,2026-09-02,26,Sarah Chen,GE Haliade-X,500kV Backbone,Approved,102097640
GreenPower Corp,Solar PV,357,Nevada,Proposal,2026-05-26,43,Robert Thompson,Vestas V150,69kV Distribution,Conditional Approval,318123057
,Battery Storage,176,California,,2026-08-14,39,Jessica Martinez,Tesla Megapack,138kV Substation,Approved,125182288
EcoWatt Systems,Offshore Wind,331,New Mexico,Qualification,2026-06-16,33,James Wilson,Vestas V150,230kV Transmission,Pending EIS,1089113132
RenewableFirst,Hybrid Solar+Storage,377,Arizona,Pre-Qualification,2026-08-07,28,Lisa Anderson,Tesla Megapack,230kV Transmission,Approved,466879062
PowerNow Industries,Solar PV,322,Florida,Negotiation,2026-04-05,63,Jessica Martinez,Monocrystalline Si,500kV Backbone,Conditional Approval,299349876
WindForce LLC,Wind Farm,102,Washington,Pre-Qualification,2026-11-28,27,Michael Rodriguez,Tesla Megapack,500kV Backbone,Pending EIS,141859254
CleanGrid Solutions,Offshore Wind,382,Oregon,,2026-03-10,78,Robert Thompson,Tesla Megapack,69kV Distribution,Conditional Approval,1411783758
